x,y,z,vx,vy,vz
1.790057429791318,0.0,3.035053573429325,0.9842304904893356,0.0,0.17689076174611765
1.6916305607972273,0.0,3.052743336143335,0.9859771239003384,0.0,0.16688052955697524
1.593029021683092,0.0,3.0694320367872283,0.9876219497733424,0.0,0.15685306603921237
1.4942629935978415,0.0,3.0851179521612657,0.9891647982710708,0.0,0.14680940658333816
1.395342674674794,0.0,3.0997994626087766,0.9906055100859668,0.0,0.13675058825219683
1.2962782789786391,0.0,3.113475052183402,0.9919439364566498,0.0,0.12667764967383105
1.1970800354507847,0.0,3.1261433088056148,0.9931799391832544,0.0,0.11659163093441698
1.0977581868531583,0.0,3.1378029244085446,0.9943133906417448,0.0,0.1064935734705016
0.9983229887105893,0.0,3.1484526950730185,0.9953441737970382,0.0,0.09638451996192841
0.8987847082518678,0.0,3.158091521151892,0.9962721822151328,0.0,0.08626551422380212
0.7991536233495977,0.0,3.166718407383584,0.9970973200740808,0.0,0.07613760109883996
0.6994400214589503,0.0,3.1743324629948404,0.9978195021738737,0.0,0.0660018263495987
0.5996541985554269,0.0,3.180932901792721,0.9984386539452573,0.0,0.055859236550306765
0.4998064580717452,0.0,3.18651904224577,0.9989547114574184,0.0,0.045710878978924
0.3999071098339512,0.0,3.1910903075543935,0.9993676214245952,0.0,0.0355578015089078
0.29996646899687435,0.0,3.194646225710409,0.9996773412115688,0.0,0.025401052501201893
0.19999485497903155,0.0,3.1971864295457983,0.9998838388380781,0.0,0.015241680695656616
0.1000025903970899,0.0,3.198710656770597,0.9999870929821104,0.0,0.005080735103121991
0.0,0.0,3.19921875,0.0,0.0,0.0
